,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
242,1.3361866474151611,0.04856467247009277,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7228017883755589,PC02,01,cvsa,,,ica,,,,,covert,WCBLE
243,0.8855698108673096,0.06702470779418945,0.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6758064516129033,PC02,01,cvsa,,,ica,,,,,covert,WCBLE
244,1.1882295608520508,0.05018186569213867,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5575757575757576,PC02,01,cvsa,,,ica,,,,,covert,WCBLE
245,1.081052541732788,0.06326818466186523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45714285714285713,PC02,01,cvsa,,,ica,,,,,covert,WCBLE
258,0.8609235286712646,0.0765998363494873,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7051282051282052,PC02,01,cvsa,,,ica,,,,,free,WCBLE
259,1.0187432765960693,0.057881832122802734,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7444196428571429,PC02,01,cvsa,,,ica,,,,,free,WCBLE
260,1.2901380062103271,0.04740476608276367,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.659016393442623,PC02,01,cvsa,,,ica,,,,,free,WCBLE
261,1.012268304824829,0.057227373123168945,0.4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7682291666666667,PC02,01,cvsa,,,ica,,,,,free,WCBLE
262,0.8669462203979492,0.07401823997497559,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6818181818181818,PC02,01,cvsa,,,ica,,,,,free,WCBLE
263,0.8664894104003906,0.060689687728881836,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6974664679582712,PC02,01,cvsa,,,ica,,,,,free,WCBLE
276,0.7460730075836182,0.057872772216796875,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5883084577114428,PC03,01,cvsa,,,ica,,,,,overt,WCBLE
277,0.6682891845703125,0.053488969802856445,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7386243386243387,PC03,01,cvsa,,,ica,,,,,overt,WCBLE
278,0.8579168319702148,0.05594944953918457,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6587412587412588,PC03,01,cvsa,,,ica,,,,,overt,WCBLE
279,0.8451657295227051,0.05485653877258301,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6139860139860139,PC03,01,cvsa,,,ica,,,,,overt,WCBLE
280,0.6290442943572998,0.05801200866699219,0.1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6463068181818181,PC03,01,cvsa,,,ica,,,,,overt,WCBLE
281,0.5307908058166504,0.06814074516296387,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6224961479198767,PC03,01,cvsa,,,ica,,,,,overt,WCBLE
294,1.2415363788604736,0.06043887138366699,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4861751152073733,PC03,01,cvsa,,,ica,,,,,covert,WCBLE
295,0.7637536525726318,0.10789108276367188,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5571428571428572,PC03,01,cvsa,,,ica,,,,,covert,WCBLE
296,1.068979024887085,0.08195281028747559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,PC03,01,cvsa,,,ica,,,,,covert,WCBLE
297,1.310563087463379,0.052770137786865234,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24761904761904763,PC03,01,cvsa,,,ica,,,,,covert,WCBLE
298,1.0057291984558105,0.09274625778198242,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666169895678092,PC03,01,cvsa,,,ica,,,,,covert,WCBLE
299,1.1458384990692139,0.0772252082824707,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060606060606062,PC03,01,cvsa,,,ica,,,,,covert,WCBLE
312,0.9346780776977539,0.052648067474365234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5312820512820513,PC03,01,cvsa,,,ica,,,,,free,WCBLE
313,0.9425654411315918,0.05156970024108887,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6540404040404041,PC03,01,cvsa,,,ica,,,,,free,WCBLE
314,0.8497316837310791,0.055351972579956055,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5839002267573696,PC03,01,cvsa,,,ica,,,,,free,WCBLE
315,0.9497828483581543,0.05910611152648926,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5995316159250585,PC03,01,cvsa,,,ica,,,,,free,WCBLE
316,0.49631834030151367,0.07381033897399902,0.4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6571056062581486,PC03,01,cvsa,,,ica,,,,,free,WCBLE
317,0.4965794086456299,0.061098575592041016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5419354838709678,PC03,01,cvsa,,,ica,,,,,free,WCBLE
330,1.589606761932373,0.08502650260925293,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6904761904761905,PC04,01,cvsa,,,ica,,,,,overt,WCBLE
331,1.2145297527313232,0.07183647155761719,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6420289855072463,PC04,01,cvsa,,,ica,,,,,overt,WCBLE
332,1.1963019371032715,0.062186479568481445,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7086167800453514,PC04,01,cvsa,,,ica,,,,,overt,WCBLE
