,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
220,0.15207648277282715,0.04882502555847168,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7745901639344261,PC02,01,cvsa,,,ica,,,,,overt,tLDA
221,0.1723029613494873,0.041262149810791016,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909092,PC02,01,cvsa,,,ica,,,,,overt,tLDA
234,0.13686132431030273,0.04913806915283203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5841013824884793,PC02,01,cvsa,,,ica,,,,,covert,tLDA
235,0.15187335014343262,0.04651927947998047,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6122159090909091,PC02,01,cvsa,,,ica,,,,,covert,tLDA
236,0.13741207122802734,0.04752540588378906,0.3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6721311475409837,PC02,01,cvsa,,,ica,,,,,covert,tLDA
237,0.13547492027282715,0.04781317710876465,0.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6387096774193548,PC02,01,cvsa,,,ica,,,,,covert,tLDA
238,0.135237455368042,0.0478208065032959,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6590909090909092,PC02,01,cvsa,,,ica,,,,,covert,tLDA
239,0.15178370475769043,0.043576955795288086,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4267857142857143,PC02,01,cvsa,,,ica,,,,,covert,tLDA
252,0.13930392265319824,0.04822087287902832,0.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6736596736596736,PC02,01,cvsa,,,ica,,,,,free,tLDA
253,0.13800811767578125,0.0485377311706543,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6227678571428572,PC02,01,cvsa,,,ica,,,,,free,tLDA
254,0.1493363380432129,0.04592466354370117,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7245901639344262,PC02,01,cvsa,,,ica,,,,,free,tLDA
255,0.14010119438171387,0.047308921813964844,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6953125,PC02,01,cvsa,,,ica,,,,,free,tLDA
256,0.1408851146697998,0.0464777946472168,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6889204545454546,PC02,01,cvsa,,,ica,,,,,free,tLDA
257,0.1530148983001709,0.04230451583862305,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.698956780923994,PC02,01,cvsa,,,ica,,,,,free,tLDA
270,0.11539649963378906,0.06262516975402832,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.644278606965174,PC03,01,cvsa,,,ica,,,,,overt,tLDA
271,0.11621642112731934,0.060654640197753906,0.2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7301587301587301,PC03,01,cvsa,,,ica,,,,,overt,tLDA
272,0.12322592735290527,0.060887813568115234,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6825174825174825,PC03,01,cvsa,,,ica,,,,,overt,tLDA
273,0.16107535362243652,0.06563115119934082,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.6867132867132867,PC03,01,cvsa,,,ica,,,,,overt,tLDA
274,0.12230753898620605,0.058321475982666016,0.3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6889204545454546,PC03,01,cvsa,,,ica,,,,,overt,tLDA
275,0.16826486587524414,0.058722734451293945,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5808936825885979,PC03,01,cvsa,,,ica,,,,,overt,tLDA
288,0.10786747932434082,0.04516935348510742,0.2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5057603686635945,PC03,01,cvsa,,,ica,,,,,covert,tLDA
289,0.09369182586669922,0.0466151237487793,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5488095238095239,PC03,01,cvsa,,,ica,,,,,covert,tLDA
290,0.09454607963562012,0.04665112495422363,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3746031746031746,PC03,01,cvsa,,,ica,,,,,covert,tLDA
291,0.10369753837585449,0.04457592964172363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47142857142857153,PC03,01,cvsa,,,ica,,,,,covert,tLDA
292,0.10785198211669922,0.04239368438720703,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3204172876304024,PC03,01,cvsa,,,ica,,,,,covert,tLDA
293,0.10734748840332031,0.04294586181640625,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6140350877192983,PC03,01,cvsa,,,ica,,,,,covert,tLDA
306,0.11449933052062988,0.048308372497558594,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6112820512820512,PC03,01,cvsa,,,ica,,,,,free,tLDA
307,0.11410832405090332,0.04902791976928711,0.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6111111111111112,PC03,01,cvsa,,,ica,,,,,free,tLDA
308,0.11225700378417969,0.05031919479370117,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6031746031746031,PC03,01,cvsa,,,ica,,,,,free,tLDA
309,0.12439990043640137,0.04582405090332031,0.3,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.639344262295082,PC03,01,cvsa,,,ica,,,,,free,tLDA
310,0.11171364784240723,0.04722189903259277,0.2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6140808344198174,PC03,01,cvsa,,,ica,,,,,free,tLDA
311,0.12209296226501465,0.04560685157775879,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6596774193548387,PC03,01,cvsa,,,ica,,,,,free,tLDA
324,0.1634984016418457,0.04930400848388672,0.1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6699134199134199,PC04,01,cvsa,,,ica,,,,,overt,tLDA
