,fit_time,score_time,test_single_trial_accuracy,test_accuracy_reps_1,test_accuracy_reps_2,test_accuracy_reps_3,test_accuracy_reps_4,test_accuracy_reps_5,test_accuracy_reps_6,test_accuracy_reps_7,test_accuracy_reps_8,test_accuracy_reps_9,test_accuracy_reps_10,test_roc_auc,subject,session,task,acquisition,run,processing,space,recording,split,description,condition,pipeline
193,0.4438209533691406,0.12781786918640137,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4276018099547511,PB04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
194,0.5330603122711182,0.09563136100769043,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38068181818181823,PB04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
195,0.43886661529541016,0.12649941444396973,0.4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5640624999999999,PB04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
196,0.4516420364379883,0.1087031364440918,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5500770416024654,PB04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
197,0.5029034614562988,0.10430216789245605,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4406779661016949,PB04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
210,0.48403191566467285,0.12020039558410645,0.7,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.855621301775148,PB04,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
211,0.49587416648864746,0.11264276504516602,0.4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8305785123966942,PB04,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
212,0.4798111915588379,0.12337112426757812,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8433566433566433,PB04,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
213,0.4814438819885254,0.12145423889160156,0.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8200992555831266,PB04,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
214,0.5268905162811279,0.10894370079040527,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8483606557377049,PB04,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
215,0.5368492603302002,0.09699368476867676,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,PB04,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
228,0.5494799613952637,0.08562326431274414,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6716417910447761,PC02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
229,0.424365758895874,0.11526894569396973,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78099173553719,PC02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
230,0.4365346431732178,0.10601520538330078,0.3,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7226190476190476,PC02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
231,0.4724390506744385,0.08848285675048828,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7835497835497836,PC02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
232,0.4215569496154785,0.09199213981628418,0.4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7459016393442623,PC02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
233,0.5663962364196777,0.08942580223083496,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8218181818181819,PC02,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
246,0.42699456214904785,0.1215353012084961,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5483870967741935,PC02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
247,0.4094974994659424,0.11804699897766113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38636363636363635,PC02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
248,0.436199426651001,0.11898565292358398,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526080476900149,PC02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
249,0.4284508228302002,0.13689208030700684,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.6435483870967742,PC02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
250,0.4128706455230713,0.13322234153747559,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4893939393939394,PC02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
251,0.43146705627441406,0.11381268501281738,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5053571428571428,PC02,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
264,0.4402427673339844,0.1309199333190918,0.4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7727272727272727,PC02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
265,0.45575642585754395,0.1302490234375,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5948660714285714,PC02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
266,0.4556760787963867,0.13015031814575195,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6568306010928963,PC02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
267,0.448833703994751,0.12806940078735352,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6419270833333333,PC02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
268,0.47020983695983887,0.12276029586791992,0.4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6931818181818181,PC02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
269,0.452075719833374,0.12236404418945312,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6453055141579731,PC02,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
282,0.44324445724487305,0.1344766616821289,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6305970149253731,PC03,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
283,0.4538114070892334,0.13109207153320312,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598941798941799,PC03,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
284,0.44303178787231445,0.1314525604248047,0.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6587412587412588,PC03,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
285,0.4394800662994385,0.13126635551452637,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6685314685314685,PC03,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
286,0.4602470397949219,0.12535500526428223,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6548295454545454,PC03,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
287,0.4469411373138428,0.12473154067993164,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6671802773497688,PC03,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
300,0.4298095703125,0.1357440948486328,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5426267281105991,PC03,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
301,0.42957139015197754,0.12820863723754883,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48571428571428577,PC03,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
302,0.48181772232055664,0.11989402770996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43968253968253973,PC03,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
303,0.42566466331481934,0.13039779663085938,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4555555555555556,PC03,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
304,0.4311048984527588,0.12975573539733887,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4470938897168405,PC03,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
305,0.5065281391143799,0.09408187866210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5406698564593302,PC03,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
318,0.4763679504394531,0.14797067642211914,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5015384615384615,PC03,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
319,0.44942212104797363,0.1252901554107666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5744949494949495,PC03,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
320,0.45235157012939453,0.12729692459106445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37755102040816335,PC03,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
321,0.4474475383758545,0.12329483032226562,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7096018735362998,PC03,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
322,0.4645261764526367,0.11545944213867188,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4589308996088658,PC03,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
323,0.4578547477722168,0.1405014991760254,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7112903225806452,PC03,01,cvsa,,,ica,,,,,free,XDAWNCov+TS+LDA
336,0.4576723575592041,0.13277459144592285,0.2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5173160173160174,PC04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
337,0.4792299270629883,0.12298464775085449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652173913043478,PC04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
338,0.6397538185119629,0.11280322074890137,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5997732426303855,PC04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
339,0.6505322456359863,0.10965251922607422,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71875,PC04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
340,0.7322001457214355,0.11344552040100098,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7328125,PC04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
341,0.7321422100067139,0.09830331802368164,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.785,PC04,01,cvsa,,,ica,,,,,overt,XDAWNCov+TS+LDA
354,0.4840719699859619,0.17691802978515625,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6357487922705314,PC04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
355,0.5943787097930908,0.1591641902923584,0.3,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6707070707070707,PC04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
356,0.611609697341919,0.15723395347595215,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092165898617511,PC04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
357,0.5608940124511719,0.18362212181091309,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39480874316939885,PC04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
358,0.5728325843811035,0.16370463371276855,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49674054758800523,PC04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
359,0.5058333873748779,0.1742866039276123,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5212121212121212,PC04,01,cvsa,,,ica,,,,,covert,XDAWNCov+TS+LDA
