,subject,session,task,acquisition,run,processing,space,recording,split,description,test_single_trial_accuracy,cond_train,cond_test,pipeline
300,PC03,01,cvsa,,,ica,,,,,0.3,overt,free,tLDA
301,PC03,01,cvsa,,,ica,,,,,0.2,overt,overt,tLDA
302,PC03,01,cvsa,,,ica,,,,,0.1,overt,covert,tLDA
303,PC03,01,cvsa,,,ica,,,,,0.2,covert,free,tLDA
304,PC03,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
305,PC03,01,cvsa,,,ica,,,,,0.3,covert,covert,tLDA
306,PC03,01,cvsa,,,ica,,,,,0.2,free,free,tLDA
307,PC03,01,cvsa,,,ica,,,,,0.4,free,overt,tLDA
308,PC03,01,cvsa,,,ica,,,,,0.1,free,covert,tLDA
309,PC03,01,cvsa,,,ica,,,,,0.3,overt,free,tLDA
310,PC03,01,cvsa,,,ica,,,,,0.4,overt,overt,tLDA
311,PC03,01,cvsa,,,ica,,,,,0.3,overt,covert,tLDA
312,PC03,01,cvsa,,,ica,,,,,0.2,covert,free,tLDA
313,PC03,01,cvsa,,,ica,,,,,0.2,covert,overt,tLDA
314,PC03,01,cvsa,,,ica,,,,,0.1,covert,covert,tLDA
315,PC03,01,cvsa,,,ica,,,,,0.3,free,free,tLDA
316,PC03,01,cvsa,,,ica,,,,,0.0,free,overt,tLDA
317,PC03,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
318,PC03,01,cvsa,,,ica,,,,,0.4,overt,free,tLDA
319,PC03,01,cvsa,,,ica,,,,,0.2,overt,overt,tLDA
320,PC03,01,cvsa,,,ica,,,,,0.3,overt,covert,tLDA
321,PC03,01,cvsa,,,ica,,,,,0.3,covert,free,tLDA
322,PC03,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
323,PC03,01,cvsa,,,ica,,,,,0.1,covert,covert,tLDA
324,PC04,01,cvsa,,,ica,,,,,0.2,free,free,tLDA
325,PC04,01,cvsa,,,ica,,,,,0.1,free,overt,tLDA
326,PC04,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
327,PC04,01,cvsa,,,ica,,,,,0.0,overt,free,tLDA
328,PC04,01,cvsa,,,ica,,,,,0.5,overt,overt,tLDA
329,PC04,01,cvsa,,,ica,,,,,0.1,overt,covert,tLDA
330,PC04,01,cvsa,,,ica,,,,,0.2,covert,free,tLDA
331,PC04,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
332,PC04,01,cvsa,,,ica,,,,,0.4,covert,covert,tLDA
333,PC04,01,cvsa,,,ica,,,,,0.2,free,free,tLDA
334,PC04,01,cvsa,,,ica,,,,,0.1,free,overt,tLDA
335,PC04,01,cvsa,,,ica,,,,,0.1,free,covert,tLDA
336,PC04,01,cvsa,,,ica,,,,,0.5,overt,free,tLDA
337,PC04,01,cvsa,,,ica,,,,,0.3,overt,overt,tLDA
338,PC04,01,cvsa,,,ica,,,,,0.3,overt,covert,tLDA
339,PC04,01,cvsa,,,ica,,,,,0.3,covert,free,tLDA
340,PC04,01,cvsa,,,ica,,,,,0.1,covert,overt,tLDA
341,PC04,01,cvsa,,,ica,,,,,0.5,covert,covert,tLDA
342,PC04,01,cvsa,,,ica,,,,,0.2,free,free,tLDA
343,PC04,01,cvsa,,,ica,,,,,0.1,free,overt,tLDA
344,PC04,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
345,PC04,01,cvsa,,,ica,,,,,0.2,overt,free,tLDA
346,PC04,01,cvsa,,,ica,,,,,0.2,overt,overt,tLDA
347,PC04,01,cvsa,,,ica,,,,,0.2,overt,covert,tLDA
348,PC04,01,cvsa,,,ica,,,,,0.3,covert,free,tLDA
349,PC04,01,cvsa,,,ica,,,,,0.3,covert,overt,tLDA
350,PC04,01,cvsa,,,ica,,,,,0.2,covert,covert,tLDA
351,PC04,01,cvsa,,,ica,,,,,0.2,free,free,tLDA
352,PC04,01,cvsa,,,ica,,,,,0.0,free,overt,tLDA
353,PC04,01,cvsa,,,ica,,,,,0.3,free,covert,tLDA
354,PC04,01,cvsa,,,ica,,,,,0.0,overt,free,tLDA
355,PC04,01,cvsa,,,ica,,,,,0.2,overt,overt,tLDA
356,PC04,01,cvsa,,,ica,,,,,0.4,overt,covert,tLDA
357,PC04,01,cvsa,,,ica,,,,,0.0,covert,free,tLDA
358,PC04,01,cvsa,,,ica,,,,,0.3,covert,overt,tLDA
359,PC04,01,cvsa,,,ica,,,,,0.4,covert,covert,tLDA
360,PC04,01,cvsa,,,ica,,,,,0.0,free,free,tLDA
361,PC04,01,cvsa,,,ica,,,,,0.3,free,overt,tLDA
362,PC04,01,cvsa,,,ica,,,,,0.2,free,covert,tLDA
363,PC04,01,cvsa,,,ica,,,,,0.1,overt,free,tLDA
364,PC04,01,cvsa,,,ica,,,,,0.4,overt,overt,tLDA
365,PC04,01,cvsa,,,ica,,,,,0.1,overt,covert,tLDA
366,PC04,01,cvsa,,,ica,,,,,0.0,covert,free,tLDA
367,PC04,01,cvsa,,,ica,,,,,0.4,covert,overt,tLDA
368,PC04,01,cvsa,,,ica,,,,,0.3,covert,covert,tLDA
369,PC04,01,cvsa,,,ica,,,,,0.1,free,free,tLDA
370,PC04,01,cvsa,,,ica,,,,,0.3,free,overt,tLDA
371,PC04,01,cvsa,,,ica,,,,,0.1,free,covert,tLDA
372,PC04,01,cvsa,,,ica,,,,,0.1,overt,free,tLDA
373,PC04,01,cvsa,,,ica,,,,,0.1,overt,overt,tLDA
374,PC04,01,cvsa,,,ica,,,,,0.4,overt,covert,tLDA
375,PC04,01,cvsa,,,ica,,,,,0.2,covert,free,tLDA
376,PC04,01,cvsa,,,ica,,,,,0.4,covert,overt,tLDA
377,PC04,01,cvsa,,,ica,,,,,0.1,covert,covert,tLDA
